name,pos,age,height,weight,jersey,source_save,years_pro_read,Speed,Agility,PassArmStrength,Stamina,KickPower,Durability,Strength,Jumping,Coverage,RunRoute,Tackle
Cedric Mack,CB,,72,194,120,1983-1984SAVEGAME.DAT,1,87,82,12,81,17,77,50,84,77,8,45
Lionel Washington,CB,,72,186,128,1983-1984SAVEGAME.DAT,1,86,86,9,70,17,86,35,78,99,14,67
Mark Duda,DE,,75,273,72,1983-1984SAVEGAME.DAT,1,50,54,13,67,17,72,83,39,10,22,77
George Schmitt,FS,,71,193,168,1983-1984SAVEGAME.DAT,1,87,92,12,74,17,81,50,86,70,8,45
Jim Eliopulos,ILB,,74,229,192,1983-1984SAVEGAME.DAT,1,71,67,10,88,11,73,77,50,61,23,80
Steve Bird,WR,,71,171,144,1983-1984SAVEGAME.DAT,1,87,84,18,24,11,81,29,99,28,48,29
Carlos Scott,C,,76,285,192,1983-1984SAVEGAME.DAT,1,43,58,11,86,16,81,74,37,13,12,24
Bob Harris,ILB,,75,202,144,1983-1984SAVEGAME.DAT,1,75,69,10,41,23,87,58,61,60,23,73
Van Williams,RB,,72,208,184,1983-1984SAVEGAME.DAT,1,76,82,23,32,7,63,61,64,20,50,10
Darryl Talley,OLB,,76,231,192,1983-1984SAVEGAME.DAT,1,82,81,10,84,12,87,43,61,52,30,72
Joe Dufek,QB,,76,215,88,1983-1984SAVEGAME.DAT,1,71,64,58,17,11,85,31,55,34,28,34
Mike Kennedy,SS,,72,195,168,1983-1984SAVEGAME.DAT,1,81,74,9,55,20,64,45,79,61,12,45
Gary Thompson,CB,,72,180,192,1983-1984SAVEGAME.DAT,1,87,75,12,70,33,76,57,74,52,8,50
Darryl Caldwell,G,,77,245,24,1983-1984SAVEGAME.DAT,1,50,64,11,66,21,87,67,31,8,12,32
Tony Hunter,TE,,76,237,185,1983-1984SAVEGAME.DAT,1,82,79,12,72,13,84,45,82,29,75,31
Scott Virkus,DT,,77,270,232,1983-1984SAVEGAME.DAT,1,72,69,10,57,23,82,57,48,35,23,69
Jimmy Payne,DT,,72,279,8,1983-1984SAVEGAME.DAT,1,47,54,10,50,23,79,86,21,11,23,65
Mike Richardson,CB,,72,188,216,1983-1984SAVEGAME.DAT,1,91,85,11,77,21,83,32,78,90,8,76
Richard Dent,DT,,77,263,248,1983-1984SAVEGAME.DAT,1,69,66,11,67,23,84,61,56,34,18,81
Tyrone Keys,DT,,79,260,16,1983-1984SAVEGAME.DAT,1,60,62,11,67,23,84,53,49,29,18,78
Dave Duerson,FS,,73,203,176,1983-1984SAVEGAME.DAT,1,87,86,9,79,22,84,60,76,79,13,75
Mark Bortz,G,,78,269,240,1983-1984SAVEGAME.DAT,1,56,54,11,69,25,95,65,50,14,12,27
Anthony Hutchison,RB,,70,186,248,1983-1984SAVEGAME.DAT,1,76,77,23,62,7,71,61,64,20,50,10
Tim Norman,T,,78,273,104,1983-1984SAVEGAME.DAT,1,43,40,11,69,25,95,61,58,14,12,27
Pat Dunsmore,TE,,75,237,192,1983-1984SAVEGAME.DAT,1,66,66,10,60,12,79,56,60,6,68,14
Dennis McKinnon,WR,,73,182,168,1983-1984SAVEGAME.DAT,1,87,80,22,67,14,84,38,76,6,82,10
Willie Gault,WR,,73,183,152,1983-1984SAVEGAME.DAT,1,99,97,20,82,11,85,45,86,11,82,10
Jimmy Turner,CB,,72,187,120,1983-1984SAVEGAME.DAT,1,83,76,9,55,17,89,41,69,75,12,46
Tim Krumrie,DE,,74,262,40,1983-1984SAVEGAME.DAT,1,70,72,11,78,22,82,53,53,36,30,79
James Griffin,FS,,74,197,8,1983-1984SAVEGAME.DAT,1,85,80,9,60,17,72,54,71,80,12,46
Stanley Wilson,RB,,70,210,0,1983-1984SAVEGAME.DAT,1,82,73,34,47,10,88,65,74,30,45,21
Larry Kinnebrew,RB,,73,258,48,1983-1984SAVEGAME.DAT,1,82,67,25,58,13,71,60,59,23,48,28
Reggie Williams,OLB,,72,228,200,1983-1984SAVEGAME.DAT,1,81,74,10,92,13,84,70,78,70,30,85
Ray Horton,SS,,71,190,160,1983-1984SAVEGAME.DAT,1,83,83,9,73,11,88,38,70,71,25,82
Robert Jackson,FS,,70,186,40,1983-1984SAVEGAME.DAT,1,87,72,9,69,17,89,41,76,83,12,60
Anthony Munoz,T,,78,278,112,1983-1984SAVEGAME.DAT,1,56,68,11,84,17,85,71,26,3,12,33
David Verser,WR,,73,200,136,1983-1984SAVEGAME.DAT,1,85,87,20,42,10,85,45,61,9,79,12
Andy Gibler,TE,,76,234,160,1983-1984SAVEGAME.DAT,1,68,70,10,66,23,87,60,51,14,61,27
Chris Lindstrom,DE,,79,260,0,1983-1984SAVEGAME.DAT,1,50,56,10,54,23,71,71,38,18,23,27
Jim Jeffcoat,DT,,77,260,104,1983-1984SAVEGAME.DAT,1,81,76,10,83,12,71,62,56,23,18,74
Bill Bates,FS,,73,200,64,1983-1984SAVEGAME.DAT,1,87,87,10,77,11,90,62,70,73,35,88
Chuck McSwain,RB,,72,191,24,1983-1984SAVEGAME.DAT,1,76,73,23,30,7,76,34,58,20,33,30
Mike Walter,OLB,,75,240,216,1983-1984SAVEGAME.DAT,1,79,69,10,85,13,84,54,65,68,30,83
Cleo Simmons,T,,74,225,24,1983-1984SAVEGAME.DAT,1,44,54,11,68,17,95,59,52,15,12,37
Chris Schultz,T,,80,280,16,1983-1984SAVEGAME.DAT,1,44,58,11,52,23,77,69,24,15,12,36
Wilbur Myers,CB,,71,195,232,1983-1984SAVEGAME.DAT,1,83,76,13,23,5,69,61,68,47,30,35
Walt Bowyer,DT,,76,260,8,1983-1984SAVEGAME.DAT,1,59,71,10,50,22,95,65,53,47,21,68
Rich Stachowskid,DE,,76,245,112,1983-1984SAVEGAME.DAT,1,54,55,10,41,25,73,58,38,21,24,66
Jerry Baker,DE,,74,297,80,1983-1984SAVEGAME.DAT,1,52,55,10,67,25,73,67,41,21,24,69
Myron Dupree,FS,,71,180,168,1983-1984SAVEGAME.DAT,1,83,76,13,41,5,69,51,65,57,30,35
Karl Mecklenburg,OLB,,75,236,104,1983-1984SAVEGAME.DAT,1,73,71,11,59,19,84,57,67,64,15,87
Gary Kubiak,QB,,72,192,64,1983-1984SAVEGAME.DAT,1,61,64,80,26,23,61,26,61,14,29,29
John Elway,QB,,75,210,57,1983-1984SAVEGAME.DAT,1,74,69,90,70,12,81,37,54,36,24,33
Mark Cooper,C,,77,275,248,1983-1984SAVEGAME.DAT,1,46,59,11,65,19,87,68,26,6,12,21
Shawn Hollingsworth,T,,74,260,72,1983-1984SAVEGAME.DAT,1,52,59,11,62,14,89,73,37,11,12,24
Zach Thomas,WR,,72,182,144,1983-1984SAVEGAME.DAT,1,86,88,20,38,11,90,37,79,28,80,25
Dean Barnett,SS,,74,225,176,1983-1984SAVEGAME.DAT,1,67,62,11,37,23,81,65,58,12,51,36
James Caver,CB,,69,175,72,1983-1984SAVEGAME.DAT,1,87,80,12,70,17,65,50,68,65,8,41
James Jones,FB,,74,229,240,1983-1984SAVEGAME.DAT,1,84,65,38,87,16,83,51,73,7,60,14
Ken Jenkins,RB,,68,184,248,1983-1984SAVEGAME.DAT,1,78,82,23,32,7,78,52,68,20,50,10
August Curly,ILB,,75,222,145,1983-1984SAVEGAME.DAT,1,73,70,10,68,11,73,67,64,57,23,79
Michael Cofer,DT,,77,245,185,1983-1984SAVEGAME.DAT,1,79,77,10,79,11,86,51,70,68,23,85
Mike Black,P,,73,197,88,1983-1984SAVEGAME.DAT,1,43,52,35,74,81,77,40,52,33,33,55
Jeff Chadwick,WR,,75,185,200,1983-1984SAVEGAME.DAT,1,86,90,20,70,11,86,47,84,11,79,10
Steve Mott,C,,75,265,160,1983-1984SAVEGAME.DAT,1,49,62,11,87,19,92,81,39,12,12,26
Tim Lewis,CB,,71,191,208,1983-1984SAVEGAME.DAT,1,85,78,10,77,14,87,45,71,84,40,84
Dave Drechsler,G,,75,264,232,1983-1984SAVEGAME.DAT,1,54,66,11,85,19,98,68,41,13,12,30
Ron Sams,G,,75,260,48,1983-1984SAVEGAME.DAT,1,30,42,11,80,19,98,65,36,11,12,28
Jessie Clark,RB,,72,233,8,1983-1984SAVEGAME.DAT,1,78,79,24,38,13,84,59,69,6,55,11
Bucky Scribner,P,,72,207,104,1983-1984SAVEGAME.DAT,1,48,58,36,60,88,98,39,47,34,37,53
Kendal Williams,CB,,69,189,96,1983-1984SAVEGAME.DAT,1,85,83,13,86,17,78,45,81,72,10,54
Marco Tongue,CB,,69,174,216,1983-1984SAVEGAME.DAT,1,83,76,13,23,5,69,61,68,47,30,35
Steve Parker,DT,,76,250,112,1983-1984SAVEGAME.DAT,1,65,64,9,61,17,92,61,42,29,14,77
Quinton Ballard,DE,,75,289,8,1983-1984SAVEGAME.DAT,1,59,56,10,54,17,76,79,19,10,20,59
Chris Hinton,G,,76,288,88,1983-1984SAVEGAME.DAT,1,61,64,11,69,11,94,71,26,9,12,33
Alvin Moore,RB,,72,194,184,1983-1984SAVEGAME.DAT,1,84,71,27,47,14,88,53,66,22,30,21
Thomas Maxwell,P,,74,195,16,1983-1984SAVEGAME.DAT,1,51,52,32,48,72,74,35,20,9,7,33
Raul Allegre,K,,70,167,16,1983-1984SAVEGAME.DAT,1,44,48,11,60,97,97,36,51,34,30,50
Jim Bob Taylor,QB,,74,197,96,1983-1984SAVEGAME.DAT,1,54,61,57,49,11,72,31,50,29,11,33
Jim Mills,T,,81,281,96,1983-1984SAVEGAME.DAT,1,49,64,11,52,14,82,69,34,19,12,24
Sid Abramowitz,T,,78,280,40,1983-1984SAVEGAME.DAT,1,47,73,11,73,14,79,61,20,19,12,24
Victor Oatis,WR,,72,177,160,1983-1984SAVEGAME.DAT,1,86,79,20,26,17,78,50,79,6,84,15
Grant Feasel,C,,80,267,145,1983-1984SAVEGAME.DAT,1,43,50,11,80,11,67,65,39,9,12,33
Earnest Barnes,DE,,76,260,248,1983-1984SAVEGAME.DAT,1,47,54,11,50,23,71,70,32,12,12,68
Mark Reed,QB,,75,200,64,1983-1984SAVEGAME.DAT,1,74,71,60,46,11,66,37,53,11,17,11
Phil Smith,WR,,75,188,176,1983-1984SAVEGAME.DAT,1,85,79,11,36,23,87,24,74,9,62,27
Albert Lewis,CB,,74,192,233,1983-1984SAVEGAME.DAT,1,84,85,9,69,20,88,39,80,82,11,69
Ken Thomas,RB,,69,211,25,1983-1984SAVEGAME.DAT,1,73,79,27,35,18,81,56,61,15,52,11
David Lutz,T,,77,280,64,1983-1984SAVEGAME.DAT,1,43,59,11,75,25,97,67,41,14,12,27
Lawrence Ricks,RB,,69,194,80,1983-1984SAVEGAME.DAT,1,71,64,11,21,7,91,54,58,20,38,10
Jim Arnold,P,,71,220,48,1983-1984SAVEGAME.DAT,1,43,46,35,50,77,85,32,39,17,18,31
Todd Blackledge,QB,,75,223,112,1983-1984SAVEGAME.DAT,1,52,59,85,41,5,65,13,55,26,17,16
Van Jakes,CB,,71,185,176,1983-1984SAVEGAME.DAT,1,84,83,12,70,17,81,41,83,66,8,45
Ellis Gardner,G,,77,260,88,1983-1984SAVEGAME.DAT,1,51,57,11,73,19,77,67,52,15,12,37
Ron Wetzel,TE,,77,242,184,1983-1984SAVEGAME.DAT,1,66,62,10,26,4,78,69,50,21,39,16
Stephone Paige,WR,,74,184,153,1983-1984SAVEGAME.DAT,1,85,81,20,55,13,91,27,67,8,84,15
Adam Lingner,C,,76,260,152,1983-1984SAVEGAME.DAT,1,44,54,11,66,17,95,59,52,15,12,37
Charles Benson,DT,,75,267,232,1983-1984SAVEGAME.DAT,1,59,57,10,50,18,72,71,53,40,15,81
Mike Charles,DE,,76,292,104,1983-1984SAVEGAME.DAT,1,59,70,11,65,20,83,65,67,28,17,71
Robert Sowell,CB,,71,175,104,1983-1984SAVEGAME.DAT,1,81,82,11,75,19,89,50,76,73,8,66
Bob Kuechenberg,G,,74,253,24,1983-1984SAVEGAME.DAT,1,61,60,11,73,25,93,79,39,14,12,27
Roy Foster,G,,76,282,232,1983-1984SAVEGAME.DAT,1,60,58,11,58,10,76,73,41,18,12,23
David Overstreet,RB,,71,208,160,1983-1984SAVEGAME.DAT,1,82,83,26,64,14,74,59,71,14,44,10
Mark Brown,ILB,,74,230,152,1983-1984SAVEGAME.DAT,1,63,79,10,74,12,75,69,54,64,21,65
Emmett Tilley,OLB,,71,240,184,1983-1984SAVEGAME.DAT,1,59,66,10,77,10,65,55,47,56,16,65
Reggie Roby,P,,74,248,32,1983-1984SAVEGAME.DAT,1,40,47,37,43,72,81,38,39,13,13,31
Dan Marino,QB,,75,220,104,1983-1984SAVEGAME.DAT,1,48,59,92,91,17,90,83,47,3,21,17
Jimmy Cefalo,WR,,71,190,136,1983-1984SAVEGAME.DAT,1,84,76,10,60,4,91,41,77,14,81,13
Carl Lee,FS,,71,187,56,1983-1984SAVEGAME.DAT,1,83,78,12,45,16,92,45,80,74,9,49
Dennis Fowlkes,OLB,,74,240,144,1983-1984SAVEGAME.DAT,1,75,75,10,50,13,84,59,58,62,30,72
Mike Mularkey,TE,,76,240,176,1983-1984SAVEGAME.DAT,1,65,62,10,30,4,78,69,56,21,56,16
Mike Jones,WR,,71,180,200,1983-1984SAVEGAME.DAT,1,87,85,20,42,17,84,50,82,6,72,15
Joey Browner,SS,,74,210,121,1983-1984SAVEGAME.DAT,1,89,83,8,64,27,86,56,76,70,20,62
Norris Brown,TE,,75,220,200,1983-1984SAVEGAME.DAT,1,63,60,11,50,23,71,58,53,22,12,27
George Peoples,RB,,72,210,24,1983-1984SAVEGAME.DAT,1,76,72,23,32,7,63,45,56,20,22,10
Bobby Johnson,CB,,72,190,16,1983-1984SAVEGAME.DAT,1,92,74,11,68,19,64,40,69,74,19,69
Gary Lewis,DE,,75,260,232,1983-1984SAVEGAME.DAT,1,48,58,13,48,17,89,79,31,10,22,74
Steve Korte,G,,74,260,224,1983-1984SAVEGAME.DAT,1,46,62,11,74,19,83,77,42,6,12,21
Chris Martin,OLB,,74,234,216,1983-1984SAVEGAME.DAT,1,76,79,10,62,4,78,66,73,69,15,77
Greg Knafelc,TE,,76,220,64,1983-1984SAVEGAME.DAT,1,74,66,58,26,11,96,62,49,49,28,59
John Tice,TE,,77,246,144,1983-1984SAVEGAME.DAT,1,65,76,10,39,4,72,63,58,14,66,13
Tyrone Young,WR,,78,190,200,1983-1984SAVEGAME.DAT,1,86,69,20,46,10,85,45,61,9,75,12
Eugene Goodlow,WR,,74,190,192,1983-1984SAVEGAME.DAT,1,86,79,22,57,14,80,39,82,6,81,10
Leonard Marshall,DT,,75,285,48,1983-1984SAVEGAME.DAT,1,60,62,11,65,23,84,53,56,29,18,81
Charles Cook,DE,,75,255,56,1983-1984SAVEGAME.DAT,1,58,59,11,52,23,84,53,36,24,18,75
Terry Kinard,FS,,73,200,88,1983-1984SAVEGAME.DAT,1,92,81,12,74,18,87,45,78,91,10,57
Kevin Belcher,G,,75,270,72,1983-1984SAVEGAME.DAT,1,55,63,11,64,22,85,73,33,11,12,28
John Tuggle,RB,,73,210,48,1983-1984SAVEGAME.DAT,1,81,74,20,47,11,84,48,62,30,52,38
Ali Haji-Sheikh,K,,72,172,48,1983-1984SAVEGAME.DAT,1,41,55,20,44,91,90,47,35,10,26,14
Malcolm Scott,TE,,77,240,200,1983-1984SAVEGAME.DAT,1,68,68,10,42,16,78,49,61,10,72,10
Zeke Mowatt,TE,,75,239,160,1983-1984SAVEGAME.DAT,1,71,77,10,41,13,87,46,58,38,74,30
Byron Williams,WR,,74,180,184,1983-1984SAVEGAME.DAT,1,87,74,22,50,14,84,38,76,6,74,10
Davlin Mullen,FS,,73,177,160,1983-1984SAVEGAME.DAT,1,86,83,12,64,19,83,42,78,67,8,54
Johnny Hector,RB,,71,200,17,1983-1984SAVEGAME.DAT,1,83,83,25,14,13,97,50,70,34,41,28
Reggie McElroy,T,,78,281,96,1983-1984SAVEGAME.DAT,1,46,60,11,54,22,78,83,48,11,12,29
Mike Harmon,WR,,72,185,184,1983-1984SAVEGAME.DAT,1,80,74,22,21,16,87,39,80,12,68,12
Jim Eliopulos,OLB,,74,229,160,1983-1984SAVEGAME.DAT,1,73,66,10,43,13,76,58,63,35,30,85
Bill Pickel,DE,,77,263,56,1983-1984SAVEGAME.DAT,1,75,65,20,88,28,93,71,60,15,20,75
Daryl Byrd,OLB,,77,257,152,1983-1984SAVEGAME.DAT,1,72,77,10,72,8,72,63,72,70,14,69
Don Mosebar,T,,76,290,64,1983-1984SAVEGAME.DAT,1,43,64,11,73,8,99,67,62,21,12,27
Dokie Williams,WR,,71,180,168,1983-1984SAVEGAME.DAT,1,85,77,20,81,16,93,49,81,6,83,14
Elbert Foules,CB,,71,185,232,1983-1984SAVEGAME.DAT,1,82,90,12,40,19,90,22,82,64,20,48
Byron Darby,DE,,76,260,240,1983-1984SAVEGAME.DAT,1,57,62,11,58,10,52,65,51,10,23,68
Michael Williams,RB,,74,217,0,1983-1984SAVEGAME.DAT,1,76,73,27,70,11,94,55,58,14,47,14
Michael Haddix,FB,,74,226,208,1983-1984SAVEGAME.DAT,1,72,73,25,85,13,80,71,54,26,60,35
Rich Kraynak,OLB,,73,226,160,1983-1984SAVEGAME.DAT,1,73,78,10,50,13,75,57,77,58,30,75
Wes Hopkins,FS,,73,210,128,1983-1984SAVEGAME.DAT,1,81,76,9,55,20,73,45,78,67,12,60
Jim Fritzsche,G,,80,265,64,1983-1984SAVEGAME.DAT,1,67,62,11,45,10,92,52,33,18,12,23
Glen Young,WR,,74,205,200,1983-1984SAVEGAME.DAT,1,89,88,7,22,6,85,37,70,6,75,9
Gerry Feehery,C,,74,268,24,1983-1984SAVEGAME.DAT,1,60,48,11,43,10,59,56,17,18,12,23
Major Everett,RB,,70,218,56,1983-1984SAVEGAME.DAT,1,79,70,11,18,23,85,68,53,27,34,45
Tom Strauthers,DT,,76,262,232,1983-1984SAVEGAME.DAT,1,59,59,11,50,23,78,75,53,50,12,60
Eric Williams,CB,,73,188,168,1983-1984SAVEGAME.DAT,1,85,80,12,46,21,78,47,80,75,9,67
Harvey Clayton,CB,,69,175,8,1983-1984SAVEGAME.DAT,1,86,87,11,59,19,84,49,68,82,19,71
Keith Gary,DT,,75,260,225,1983-1984SAVEGAME.DAT,1,62,71,10,58,19,88,61,46,44,29,82
