year,name,pos,age,rating,potential,draft_pick,round,college,career_av,pro_bowls,ever_played,source,ordering,raise_basis
1980,Billy Sims,RB,24,85,98,1,1,Oklahoma,58,3,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Lam Jones,WR,22,82,89,2,1,Texas,21,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Anthony Munoz,OT,22,81,99,3,1,USC,138,11,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Bruce Clark,DE,22,80,90,4,1,Penn St.,46,1,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Curtis Dickey,RB,23,79,86,5,1,Texas A&M,37,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Curtis Greer,DE,22,78,85,6,1,Michigan,38,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Junior Miller,TE,22,78,85,7,1,Nebraska,14,2,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Mark Haynes,S,21,77,90,8,1,Colorado,66,3,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Doug Martin,DE,23,77,85,9,1,Washington,48,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Jacob Green,DE,23,76,89,10,1,Texas A&M,80,2,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Brad Budde,OG,22,76,83,11,1,USC,36,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Stan Brock,OT,22,76,87,12,1,Colorado,78,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Earl Cooper,RB,22,76,82,13,1,Rice,25,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
1980,Roland James,S,22,76,84,14,1,Tennessee,50,0,yes,PFR 1980 draft listing,draft pick,"career AV, Pro Bowls"
