round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
1,1,JAX,Travon Walker,DE,21,2025,0,0,4,26,26,Georgia
1,2,DET,Aidan Hutchinson,DE,22,2025,0,2,3,31,31,Michigan
1,3,HOU,Derek Stingley Jr.,CB,21,2025,2,2,4,36,36,LSU
1,4,NYJ,Sauce Gardner,CB,21,2025,2,2,3,33,32,Cincinnati
1,5,NYG,Kayvon Thibodeaux,DE,21,2025,0,0,3,24,24,Oregon
1,6,CAR,Ikem Ekwonu,T,21,2025,0,0,4,25,25,North Carolina St.
1,7,NYG,Evan Neal,OL,21,2024,0,0,1,11,11,Alabama
1,8,ATL,Drake London,WR,21,2025,0,0,4,32,32,USC
1,9,SEA,Charles Cross,OL,21,2025,0,0,4,28,28,Mississippi St.
1,10,NYJ,Garrett Wilson,WR,22,2025,0,0,3,27,27,Ohio St.
1,11,NOR,Chris Olave,WR,22,2025,0,0,4,27,27,Ohio St.
1,12,DET,Jameson Williams,WR,21,2025,0,0,2,26,26,Alabama
1,13,PHI,Jordan Davis,DT,22,2025,0,0,3,24,24,Georgia
1,14,BAL,Kyle Hamilton,S,21,2025,2,3,3,31,31,Notre Dame
1,15,HOU,Kenyon Green,OL,21,2024,0,0,2,8,8,Texas A&M
1,16,WAS,Jahan Dotson,WR,22,2025,0,0,3,12,8,Penn St.
1,17,LAC,Zion Johnson,G,22,2025,0,0,4,25,25,Boston Col.
1,18,TEN,Treylon Burks,WR,22,2025,0,0,1,7,6,Arkansas
1,19,NOR,Trevor Penning,T,23,2025,0,0,1,15,13,Northern Iowa
1,20,PIT,Kenny Pickett,QB,24,2025,0,0,2,14,13,Pittsburgh
1,21,KAN,Trent McDuffie,CB,21,2025,1,0,4,33,33,Washington
1,22,GNB,Quay Walker,LB,22,2025,0,0,4,22,22,Georgia
1,23,BUF,Kaiir Elam,CB,21,2025,0,0,0,9,6,Florida
1,24,DAL,Tyler Smith,OL,21,2025,0,3,4,33,33,Tulsa
1,25,BAL,Tyler Linderbaum,OL,22,2025,0,3,4,34,34,Iowa
1,26,NYJ,Jermaine Johnson II,LB,23,2025,0,1,2,19,19,Florida St.
1,27,JAX,Devin Lloyd,LB,23,2025,0,1,4,35,35,Utah
1,28,GNB,Devonte Wyatt,DT,24,2025,0,0,1,10,10,Georgia
1,29,NWE,Cole Strange,OL,24,2025,0,0,3,15,11,Chattanooga
1,30,KAN,George Karlaftis III,DE,21,2025,0,0,4,27,27,Purdue
1,31,CIN,Daxton Hill,DB,21,2025,0,0,2,13,13,Michigan
1,32,MIN,Lewis Cine,DB,22,2024,0,0,0,0,0,Georgia
2,33,TAM,Logan Hall,DE,22,2025,0,0,2,19,19,Houston
2,34,GNB,Christian Watson,WR,23,2025,0,0,4,22,22,North Dakota St.
2,35,TEN,Roger McCreary,CB,22,2025,0,0,2,13,13,Auburn
2,36,NYJ,Breece Hall,RB,21,2025,0,0,3,28,28,Iowa St.
2,37,HOU,Jalen Pitre,S,23,2025,0,0,4,21,21,Baylor
2,38,ATL,Arnold Ebiketie,DE,23,2025,0,0,0,10,10,Penn St.
2,39,CHI,Kyler Gordon,CB,22,2025,0,0,2,12,12,Washington
2,40,SEA,Boye Mafe,DE,23,2025,0,0,1,16,16,Minnesota
2,41,SEA,Kenneth Walker III,RB,21,2025,0,0,4,28,28,Michigan St.
2,42,MIN,Andrew Booth,CB,21,2024,0,0,0,3,2,Clemson
2,43,NYG,Wan'Dale Robinson,WR,21,2025,0,0,1,20,20,Kentucky
2,44,HOU,John Metchie,WR,22,2025,0,0,0,5,3,Alabama
2,45,BAL,David Ojabo,LB,22,2025,0,0,0,3,3,Michigan
2,46,DET,Josh Paschal,DE,22,2024,0,0,0,9,9,Kentucky
2,47,WAS,Phidarian Mathis,DT,24,2025,0,0,0,2,2,Alabama
2,48,CHI,Jaquan Brisker,S,23,2025,0,0,3,15,15,Penn St.
2,49,NOR,Alontae Taylor,DB,23,2025,0,0,4,19,19,Tennessee
2,50,NWE,Tyquan Thornton,WR,21,2025,0,0,1,7,3,Baylor
2,51,PHI,Cam Jurgens,OL,23,2025,0,2,3,20,20,Nebraska
2,52,PIT,George Pickens,WR,21,2025,0,1,4,36,23,Georgia
2,53,IND,Alec Pierce,WR,22,2025,0,0,4,26,26,Cincinnati
2,54,KAN,Skyy Moore,WR,21,2025,0,0,0,5,4,Western Michigan
2,55,ARI,Trey McBride,TE,22,2025,1,2,4,29,29,Colorado St.
2,56,DAL,Sam Williams,DE,23,2025,0,0,0,7,7,Mississippi
2,57,TAM,Luke Goedeke,OL,23,2025,0,0,3,22,22,Central Michigan
2,58,ATL,Troy Andersen,LB,23,2024,0,0,0,6,6,Montana St.
2,59,MIN,Ed Ingram,G,23,2025,0,0,4,21,16,LSU
2,60,CIN,Cam Taylor-Britt,CB,22,2025,0,0,3,15,15,Nebraska
2,61,SFO,Drake Jackson,OLB,21,2025,0,0,0,3,3,USC
2,62,KAN,Bryan Cook,S,23,2025,0,0,3,18,18,Cincinnati
2,63,BUF,James Cook,RB,22,2025,0,3,3,43,43,Georgia
