round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
1,1,CAR,Cam Newton,QB,22,2021,1,3,9,115,107,Auburn
1,2,DEN,Von Miller,LB,22,2025,3,8,10,105,97,Texas A&M
1,3,BUF,Marcell Dareus,DT,21,2019,1,2,7,56,47,Alabama
1,4,CIN,A.J. Green,WR,23,2022,0,7,10,77,71,Georgia
1,5,ARI,Patrick Peterson,DB,21,2023,3,8,13,103,95,LSU
1,6,ATL,Julio Jones,WR,22,2023,2,7,9,101,97,Alabama
1,7,SFO,Aldon Smith,DE,21,2020,1,1,4,34,24,Missouri
1,8,TEN,Jake Locker,QB,23,2014,0,0,1,15,15,Washington
1,9,DAL,Tyron Smith,T,20,2024,2,8,12,91,89,USC
1,10,JAX,Blaine Gabbert,QB,21,2023,0,0,2,17,7,Missouri
1,11,HOU,J.J. Watt,DE,22,2022,5,5,10,110,105,Wisconsin
1,12,MIN,Christian Ponder,QB,23,2014,0,0,3,22,22,Florida St.
1,13,DET,Nick Fairley,DT,23,2016,0,0,4,23,16,Auburn
1,14,STL,Robert Quinn,DE,21,2022,1,3,9,69,43,North Carolina
1,15,MIA,Mike Pouncey,G,22,2019,0,4,7,52,40,Florida
1,16,WAS,Ryan Kerrigan,DE,23,2021,0,4,9,63,62,Purdue
1,17,NWE,Nate Solder,T,23,2021,0,0,9,64,49,Colorado
1,18,SDG,Corey Liuget,DT,21,2020,0,0,7,42,41,Illinois
1,19,NYG,Prince Amukamara,DB,22,2019,0,0,8,36,15,Nebraska
1,20,TAM,Adrian Clayborn,DE,23,2020,0,0,2,26,12,Iowa
1,21,CLE,Phil Taylor,DT,23,2014,0,0,2,19,19,Baylor
1,22,IND,Anthony Castonzo,T,23,2020,0,0,10,58,58,Boston Col.
1,23,PHI,Danny Watkins,G,26,2013,0,0,1,9,9,Baylor
1,24,NOR,Cameron Jordan,DE,22,2025,1,8,15,109,109,California
1,25,SEA,James Carpenter,T,22,2021,0,0,10,49,17,Alabama
1,26,KAN,Jonathan Baldwin,WR,22,2013,0,0,1,4,4,Pittsburgh
1,27,BAL,Jimmy Smith,DB,23,2021,0,0,5,33,33,Colorado
1,28,NOR,Mark Ingram,RB,21,2022,0,3,5,66,51,Alabama
1,29,CHI,Gabe Carimi,T,23,2014,0,0,1,12,7,Wisconsin
1,30,NYJ,Muhammad Wilkerson,DT,21,2018,0,1,7,58,58,Temple
1,31,PIT,Cameron Heyward,DE,22,2025,4,7,13,115,115,Ohio St.
1,32,GNB,Derek Sherrod,T,22,2014,0,0,0,3,3,Mississippi St.
2,33,NWE,Ras-I Dowling,DB,23,2014,0,0,0,1,1,Virginia
2,34,BUF,Aaron Williams,DB,21,2016,0,0,4,17,17,Texas
2,35,CIN,Andy Dalton,QB,23,2025,0,3,11,92,82,TCU
2,36,SFO,Colin Kaepernick,QB,23,2016,0,0,4,45,45,Nevada
2,37,CLE,Jabaal Sheard,DE,22,2021,0,0,7,47,22,Pittsburgh
2,38,ARI,Ryan Williams,RB,21,2012,0,0,0,1,1,Virginia Tech
2,39,TEN,Akeem Ayers,LB,22,2017,0,0,4,28,17,UCLA
2,40,DAL,Bruce Carter,LB,23,2018,0,0,3,20,16,North Carolina
2,41,WAS,Jarvis Jenkins,DT,23,2018,0,0,3,23,13,Clemson
2,42,HOU,Brooks Reed,LB,24,2020,0,0,6,37,24,Arizona
2,43,MIN,Kyle Rudolph,TE,21,2022,0,2,10,36,35,Notre Dame
2,44,DET,Titus Young,WR,22,2012,0,0,2,8,8,Boise St.
2,45,DEN,Rahim Moore,DB,21,2015,0,0,3,20,18,UCLA
2,46,DEN,Orlando Franklin,T,23,2017,0,0,6,42,31,Miami (FL)
2,47,STL,Lance Kendricks,TE,23,2019,0,0,6,16,13,Wisconsin
2,48,OAK,Stefen Wisniewski,C,22,2020,0,0,6,41,21,Penn St.
2,49,IND,Ben Ijalana,T,22,2017,0,0,1,6,0,Villanova
2,50,SDG,Marcus Gilchrist,DB,22,2020,0,0,6,33,15,Clemson
2,51,TAM,Da'Quan Bowers,DE,21,2015,0,0,0,7,7,Clemson
2,52,NYG,Marvin Austin,DT,22,2014,0,0,0,2,1,North Carolina
2,53,CHI,Stephen Paea,DT,23,2017,0,0,3,19,15,Oregon St.
2,54,PHI,Jaiquawn Jarrett,DB,21,2015,0,0,0,5,1,Temple
2,55,KAN,Rodney Hudson,C,22,2022,0,3,9,61,13,Florida St.
2,56,NWE,Shane Vereen,RB,22,2017,0,0,1,25,16,California
2,57,DET,Mikel Leshoure,RB,21,2013,0,0,1,5,5,Illinois
2,58,BAL,Torrey Smith,WR,22,2018,0,0,7,37,28,Maryland
2,59,CLE,Greg Little,WR,22,2014,0,0,3,12,12,North Carolina
2,60,HOU,Brandon Harris,DB,21,2014,0,0,0,3,2,Miami (FL)
2,61,SDG,Jonas Mouton,LB,23,2012,0,0,0,0,0,Michigan
2,62,MIA,Daniel Thomas,RB,23,2014,0,0,0,11,11,Kansas St.
2,63,PIT,Marcus Gilbert,T,23,2018,0,0,5,36,36,Florida
2,64,GNB,Randall Cobb,WR,21,2023,0,1,5,64,56,Kentucky
3,65,CAR,Terrell McClain,DT,23,2019,0,0,2,17,4,South Florida
3,66,CIN,Dontay Moch,LB,23,2014,0,0,0,0,0,Nevada
3,67,DEN,Nate Irving,LB,23,2015,0,0,1,9,9,North Carolina St.
3,68,BUF,Kelvin Sheppard,LB,23,2018,0,0,4,25,8,LSU
3,69,ARI,Rob Housler,TE,23,2015,0,0,3,9,9,Florida Atlantic
3,70,KAN,Justin Houston,LB,22,2023,1,4,10,74,54,Georgia
3,71,DAL,DeMarco Murray,RB,23,2017,1,3,7,60,40,Oklahoma
3,72,NOR,Martez Wilson,LB,22,2013,0,0,0,2,2,Illinois
3,73,NWE,Stevan Ridley,RB,22,2018,0,0,1,25,23,LSU
3,74,NWE,Ryan Mallett,QB,23,2017,0,0,0,4,0,Arkansas
3,75,SEA,John Moffitt,G,24,2013,0,0,1,6,6,Wisconsin
3,76,JAX,Will Rackley,G,21,2013,0,0,2,8,8,Lehigh
3,77,TEN,Jurrell Casey,DT,21,2020,0,5,9,72,71,USC
3,78,STL,Austin Pettis,WR,23,2014,0,0,0,8,8,Boise St.
3,79,WAS,Leonard Hankerson,WR,22,2015,0,0,1,12,9,Miami (FL)
3,80,SFO,Chris Culliver,DB,23,2015,0,0,1,12,10,South Carolina
3,81,OAK,DeMarcus Van Dyke,DB,22,2013,0,0,0,3,2,Miami (FL)
3,82,SDG,Vincent Brown,WR,22,2015,0,0,1,9,8,San Diego St.
3,83,NYG,Jerrel Jernigan,WR,22,2014,0,0,0,2,2,Troy
3,84,TAM,Mason Foster,LB,22,2018,0,0,6,40,21,Washington
3,85,BAL,Jah Reid,T,23,2016,0,0,2,10,5,Central Florida
3,86,KAN,Allen Bailey,DE,22,2020,0,0,3,34,30,Miami (FL)
3,87,IND,Drake Nevis,DT,22,2013,0,0,0,4,3,LSU
3,88,NOR,Johnny Patrick,DB,23,2013,0,0,0,4,2,Louisville
3,89,SDG,Shareece Wright,DB,24,2018,0,0,2,21,10,USC
3,90,PHI,Curtis Marsh,DB,23,2013,0,0,0,1,1,Utah St.
3,91,ATL,Akeem Dent,LB,23,2016,0,0,2,17,9,Georgia
3,92,OAK,Joe Barksdale,T,23,2018,0,0,5,35,1,LSU
3,93,CHI,Chris Conte,DB,22,2018,0,0,7,28,17,California
3,94,NYJ,Kenrick Ellis,DT,23,2015,0,0,0,10,9,Hampton
3,95,PIT,Curtis Brown,DB,22,2013,0,0,0,2,2,Texas
3,96,GNB,Alex Green,RB,23,2013,0,0,0,5,5,Hawaii
3,97,CAR,Sione Fua,DT,23,2014,0,0,1,5,4,Stanford
4,98,CAR,Brandon Hogan,DB,23,2011,0,0,0,0,0,West Virginia
4,99,SEA,K.J. Wright,LB,22,2021,0,1,10,64,62,Mississippi St.
4,100,BUF,Da'Norris Searcy,DB,22,2018,0,0,3,24,12,North Carolina
4,101,CIN,Clint Boling,G,22,2018,0,0,7,46,46,Georgia
4,102,CLE,Jordan Cameron,TE,23,2016,0,1,4,13,10,USC
4,103,ARI,Sam Acho,DE,23,2019,0,0,4,30,19,Texas
4,104,TAM,Luke Stocker,TE,23,2021,0,0,7,5,3,Tennessee
4,105,WAS,Roy Helu,RB,22,2015,0,0,1,13,13,Nebraska
4,106,MIN,Christian Ballard,DT,22,2012,0,0,0,3,3,Iowa
4,107,SEA,Kris Durham,WR,23,2014,0,0,1,5,0,Georgia
4,108,DEN,Quinton Carter,DB,23,2014,0,0,1,5,5,Oklahoma
4,109,TEN,Colin McCarthy,LB,22,2013,0,0,1,11,11,Miami (FL)
4,110,DAL,David Arkin,G,23,2016,0,0,0,0,,Missouri State
