year,name,pos,age,rating,potential,draft_pick,round,college,career_av,pro_bowls,ever_played,source,ordering,raise_basis
1983,Dokie Williams,WR,21,85,90,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1983,Eric Dickerson,RB,22,81,86,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1983,Lionel Washington,CB,22,79,83,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1983,Bill Bates,S,23,78,82,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1983,Vernon Maxwell,OLB,22,78,82,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
1983,Bill Pickel,DE,23,77,81,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1983,Bubba Paris,OT,22,77,81,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1983,Dan Manning,TE,21,76,80,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1983,Bruce Matthews,OG,23,76,80,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1983,Bob Hamm,DT,22,76,80,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1983,Dan Marino,QB,23,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,PassArmStrength alone — the model fails for rookie QBs,NONE — no career outcome on disk; PFR fetch pending
1983,Jim Eliopulos,MLB,22,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1983,Victor Oatis,WR,24,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1983,Michael Haddix,RB,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1983,Darrell Green,CB,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1983,Steve Mott,C,23,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.64),NONE — no career outcome on disk; PFR fetch pending
1983,Terry Kinard,S,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1983,Bucky Scribner,P,23,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.77),NONE — no career outcome on disk; PFR fetch pending
1983,Billy Ray Smith,OLB,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
1983,Mark Duda,DE,21,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1983,Willie Gault,WR,23,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1983,John Tice,TE,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1983,Bill Contz,OT,23,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1983,Michael Williams,RB,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1983,Mike Richardson,CB,24,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1983,Chris Hinton,OG,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1983,Charles Mann,DT,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1983,Ken Coffey,S,23,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1983,Dennis McKinnon,WR,22,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1983,Larry Moriarty,RB,23,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1983,Tim Lewis,CB,22,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1983,Sam Merriman,OLB,21,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
1983,Brian Sochia,DE,22,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1983,John Elway,QB,22,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,PassArmStrength alone — the model fails for rookie QBs,NONE — no career outcome on disk; PFR fetch pending
1983,Kelly Thomas,OT,23,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1983,Pat Dunsmore,TE,22,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1983,Bob Harris,MLB,23,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1983,Raul Allegre,K,22,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.65),NONE — no career outcome on disk; PFR fetch pending
1983,Eugene Goodlow,WR,21,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==1,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
