round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
1,1,MIN,Ron Yary,T,22,1982,6,7,12,104,104,USC
1,2,CIN,Bob Johnson,C,22,1979,0,1,10,62,62,Tennessee
1,3,ATL,Claude Humphrey,DE,24,1981,2,6,10,84,77,Tennessee St.
1,4,SDG,Russ Washington,T,21,1982,0,5,14,86,86,Missouri
1,5,GNB,Fred Carr,LB,22,1977,0,3,8,60,60,Texas-El Paso
1,6,BOS,Dennis Byrd,DE,22,1968,0,0,1,5,5,North Carolina St.
1,7,NOR,Kevin Hardy,DT,23,1972,0,0,1,8,,Notre Dame
1,8,MIA,Larry Csonka,RB,21,1979,2,5,11,75,69,Syracuse
1,9,BUF,Haven Moses,WR,22,1981,0,2,12,61,14,San Diego St.
1,10,PIT,Mike Taylor,T,23,1973,0,0,1,12,6,USC
1,11,DET,Greg Landry,QB,21,1984,0,1,6,80,73,Massachusetts
1,12,WAS,Jim Smith,DB,21,1968,0,0,1,5,5,Oregon
1,13,STL,MacArthur Lane,RB,26,1978,0,1,6,64,23,Utah St.
1,14,PHI,Tim Rossovich,LB,22,1976,0,1,5,25,19,USC
1,15,SFO,Forrest Blue,C,23,1978,3,4,6,66,56,Auburn
1,16,CHI,Mike Hull,RB,23,1974,0,0,0,3,3,USC
1,17,NYJ,Lee White,RB,22,1972,0,0,0,5,4,Weber St.
1,18,SDG,Jim Hill,DB,21,1975,0,0,6,35,15,Texas A&M-Kingsville
1,19,KAN,Mo Moorman,G,23,1973,0,0,6,31,31,Texas A&M
1,20,DAL,Dennis Homan,WR,22,1972,0,0,1,7,5,Alabama
1,21,CLE,Marvin Upshaw,DE,21,1976,0,0,5,37,7,Trinity (TX)
1,22,KAN,George Daney,G,22,1974,0,0,1,19,19,Texas-El Paso
1,23,BAL,John Williams,T,22,1979,0,0,9,59,21,Minnesota
1,24,DET,Earl McCullouch,WR,22,1974,0,0,4,29,29,USC
1,25,OAK,Eldridge Dickey,WR,22,1971,0,0,0,1,1,Tennessee St.
1,26,GNB,Bill Lueck,G,22,1975,0,0,7,33,30,Arizona
1,27,MIA,Doug Crusan,T,22,1974,0,0,5,31,31,Indiana
2,28,CIN,Bill Staley,DT,21,1972,0,0,4,20,8,Utah St.
2,29,ATL,Carlton Dabney,DT,21,1968,0,0,1,4,4,Morgan St.
2,30,RAM,Gary Beban,QB,22,1969,0,0,0,0,,UCLA
2,31,DEN,Curley Culp,DT,22,1981,1,6,11,80,,Arizona St.
2,32,BOS,Tom Funchess,T,23,1974,0,0,6,24,13,Jackson St.
2,33,MIN,Charlie West,DB,22,1979,0,0,6,45,22,Texas-El Paso
2,34,BUF,Bob Tatarek,DT,22,1972,0,0,2,14,13,Miami (FL)
2,35,MIA,Jimmy Keyes,LB,24,1969,0,0,0,5,5,Mississippi
2,36,PIT,Ernie Ruple,DE,22,1968,0,0,0,3,3,Arkansas
2,37,DET,Jerry DePoyster,K,22,1972,0,0,0,3,2,Wyoming
2,38,WAS,Tom Roussel,LB,23,1973,0,0,2,15,7,Southern Miss
2,39,PHI,Cyril Pinder,RB,21,1973,0,0,2,19,14,Illinois
2,40,STL,Fred Hyatt,WR,22,1973,0,0,0,1,1,Auburn
2,41,NYG,Rich Buzin,T,22,1972,0,0,2,19,17,Penn St.
2,42,STL,Bob Atkins,DB,22,1976,0,0,4,24,9,Grambling St.
2,43,SDG,Bill Lenkaitis,C,22,1981,0,0,10,59,6,Penn St.
2,44,NYJ,Steve Thompson,DT,23,1973,0,0,1,17,17,Washington
2,45,DAL,Dave McDaniels,WR,23,1968,0,0,0,0,0,Miss. Valley St.
2,46,CHI,Bob Wallace,WR,22,1972,0,0,2,15,15,Texas-El Paso
2,47,CLE,John Garlington,LB,22,1977,0,0,3,32,32,LSU
2,48,KAN,Mike Livingston,QB,22,1979,0,1,5,42,42,SMU
2,49,HOU,Mac Haik,WR,22,1971,0,0,2,11,11,Mississippi
2,50,BAL,Bob Grant,LB,21,1971,0,0,2,18,14,Wake Forest
2,51,RAM,Mike LaHood,G,23,1972,0,0,0,13,9,Wyoming
2,52,OAK,Ken Stabler,QB,22,1984,1,4,11,93,78,Alabama
2,53,ATL,John Wright,WR,22,1969,0,0,0,2,0,Illinois
2,54,MIA,Jim Cox,TE,21,1968,0,0,0,2,2,Miami (FL)
2,55,CIN,Tommie Smiley,RB,24,1970,0,0,2,4,2,Lamar
3,56,CIN,Gary Davis,QB,,,0,0,0,,,Vanderbilt
3,57,CHI,Major Hazelton,DB,23,1970,0,0,0,6,5,Florida A&M
3,58,DEN,Garrett Ford,RB,23,1968,0,0,0,2,2,West Virginia
3,59,NOR,Dave Szymakowski,WR,22,1968,0,0,0,0,0,West Texas A&M
3,60,BOS,Aaron Marsh,WR,23,1969,0,0,1,5,5,Eastern Kentucky
3,61,PIT,Jon Henderson,WR,23,1970,0,0,0,5,2,Colorado St.
