key,name,build_pos,archive_pos,registry_band,archive_band,n_sources,agreement,era,files,current_head,checked,verdict
tim brown|OG,tim brown,OG,WR,light,dark,13,1.0,2004-2005,2004,Head1c,,
richard sherman|S,richard sherman,S,CB,light,dark,12,1.0,2011-2023,2021,Head2c,,
john nix|DT,john nix,DT,DE,light,dark,11,1.0,2004-2016,2004,Head3b,,
derek barnett|DE,derek barnett,DE,DT,light,dark,10,1.0,2017-2026,2017 2021 2026,Head2a,,
pernell mcphee|DE,pernell mcphee,DE,OLB,light,dark,10,1.0,2014-2023,2013 2017 2021,Head2b,,
trey hendrickson|DE,trey hendrickson,DE,DT,dark,light,10,1.0,2017-2026,2017 2021 2026,Head5b,,
dorance armstrong|DE,dorance armstrong,DE,DT,light,dark,9,1.0,2018-2026,2021 2026,Head2a,,
marcus davenport|DE,marcus davenport,DE,DT,light,dark,9,1.0,2017-2026,2021,Head2b,,
randy white|DT,randy white,DT,DE,dark,light,9,1.0,1958-1988,1986,Head4c,,
curry burns|CB,curry burns,CB,FS,light,dark,8,1.0,1958-2015,2004,Head1a,,
doug betters|DE,doug betters,DE,DT,dark,light,8,1.0,1979-1986,1986,Head4d,,
ed oliver|DT,ed oliver,DT,DE,light,dark,8,1.0,2020-2026,2021,Head2b,,
geno hayes|MLB,geno hayes,MLB,OLB,light,dark,8,1.0,2008-2016,2013,Head3a,,
jim skow|DE,jim skow,DE,DT,dark,light,8,1.0,1980-1993,1986,Head4a,,
jody littleton|RB,jody littleton,RB,C,light,dark,8,1.0,2004-2006,2004,Head2c,,
jonah williams|DE,jonah williams,DE,T,dark,light,8,1.0,2020-2026,2021,Head4b,,
khalen saunders|DT,khalen saunders,DT,DE,light,dark,8,1.0,2020-2026,2021,Head2b,,
lonie paxton|S,lonie paxton,S,C,dark,light,8,1.0,2004-2009,2004,Head4b,,
mike gann|DE,mike gann,DE,DT,dark,light,8,1.0,1985-1993,1986,Head5b,,
paul mcquistan|OT,paul mcquistan,OT,G,dark,light,8,1.0,2006-2014,2013,Head4d,,
sam hubbard|DE,sam hubbard,DE,DT,dark,light,8,1.0,2018-2025,2021,Head4b,,
tim settle|DT,tim settle,DT,DE,light,dark,8,1.0,2020-2026,2021 2026,Head1b,,
anthony spencer|DE,anthony spencer,DE,OLB,light,dark,7,1.0,2007-2012,2013,Head3b,,
art still|DE,art still,DE,DT,light,dark,7,1.0,1979-1989,1986,Head1c,,
bradley chubb|DE,bradley chubb,DE,OLB,light,dark,7,1.0,2020-2025,2026,Head2d,,
broderick thompson|C,broderick thompson,C,T,light,dark,7,1.0,1985-1996,1986,Head1b,,
carl granderson|DE,carl granderson,DE,DT,light,dark,7,1.0,2021-2026,2021 2026,Head2b,,
christian wilkins|DE,christian wilkins,DE,DT,light,dark,7,1.0,2020-2025,2021,Head2b,,
clelin ferrell|DE,clelin ferrell,DE,DT,light,dark,7,1.0,2020-2026,2021 2026,Head2b,,
dremont jones|DE,dremont jones,DE,DT,light,dark,7,1.0,2020-2026,2021 2026,Head2b,,
elgton jenkins|OT,elgton jenkins,OT,G,light,dark,7,1.0,2020-2025,2021,Head2b,,
jerry boyarsky|DT,jerry boyarsky,DT,DE,dark,light,7,1.0,1981-1994,1986,Head5b,,
johnny lynn|S,johnny lynn,S,CB,light,dark,7,1.0,1979-1986,1986,Head1a,,
keith washington|DE,keith washington,DE,DT,light,dark,7,1.0,2004-2005,2004,Head1d,,
kim bokamper|DE,kim bokamper,DE,DT,dark,light,7,1.0,1980-1994,1986,Head5c,,
lance kendricks|WR,lance kendricks,WR,TE,light,dark,7,1.0,2011-2021,2013,Head2a,,
montez sweat|DE,montez sweat,DE,DT,light,dark,7,1.0,2021-2026,2021 2026,Head2b,,
ryan pontbriand|S,ryan pontbriand,S,C,dark,light,7,1.0,2004-2011,2004,Head4a,,
tanner vallejo|OLB,tanner vallejo,OLB,ILB,dark,light,7,1.0,2017-2023,2017,Head4a,,
trevor scott|DE,trevor scott,DE,DT,dark,light,7,1.0,2008-2016,2010 2013,Head4a,,
charles omenihu|DE,charles omenihu,DE,DT,light,dark,6,1.0,2020-2026,2021 2026,Head2b,,
elbert mack|WR,elbert mack,WR,CB,light,dark,6,1.0,2008-2012,2010 2013,Head3a,,
greg rousseau|DE,greg rousseau,DE,DT,light,dark,6,1.0,2022-2026,2026,Head3b,,
jerome sally|DT,jerome sally,DT,DE,light,dark,6,1.0,1980-1988,1986,Head3b,,
kani kauahi|OT,kani kauahi,OT,C,dark,light,6,1.0,1983-1993,1986,Head4b,,
larry lee|C,larry lee,C,G,light,dark,6,1.0,1981-1988,1986,Head2b,,
mike schneck|S,mike schneck,S,C,dark,light,6,1.0,2004-2007,2004,Head4a,,
oshane ximines|DE,oshane ximines,DE,OLB,light,dark,6,1.0,2020-2025,2021,Head2a,,
paul soliai|DT,paul soliai,DT,DE,light,dark,6,1.0,2008-2014,2007 2010 2013,Head3b,,
pete kugler|DT,pete kugler,DT,DE,dark,light,6,1.0,1980-1991,1986,Head4a,,
