name,pos,age,height,weight,jersey,source_save,years_pro_read,Speed,Agility,PassArmStrength,Stamina,KickPower,Durability,Strength,Jumping,Coverage,RunRoute,Tackle
Benny Perrin,FS,,74,178,184,1983-1984SAVEGAME.DAT,2,91,75,11,72,21,81,42,77,85,8,77
David Galloway,DE,,75,279,8,1983-1984SAVEGAME.DAT,2,59,56,10,63,21,86,67,45,37,19,85
Earl Ferrell,RB,,72,220,248,1983-1984SAVEGAME.DAT,2,82,85,23,18,7,86,61,69,20,33,10
Craig Shaffer,OLB,,72,230,168,1983-1984SAVEGAME.DAT,2,77,68,18,75,11,83,59,61,62,42,76
Monty Hunter,SS,,72,202,96,1983-1984SAVEGAME.DAT,2,86,84,12,70,17,85,49,88,77,8,45
Tootie Robbins,T,,77,303,248,1983-1984SAVEGAME.DAT,2,43,69,11,88,22,94,85,48,13,12,22
Luis Sharpe,T,,76,275,24,1983-1984SAVEGAME.DAT,2,50,66,11,73,23,87,61,45,16,12,33
Eddie McGill,TE,,78,225,185,1983-1984SAVEGAME.DAT,2,66,68,10,46,9,71,47,57,25,58,25
Ken Thompson,WR,,73,178,176,1983-1984SAVEGAME.DAT,2,84,80,20,33,16,83,34,70,20,62,38
Mark Roopenian,DE,,77,254,120,1983-1984SAVEGAME.DAT,2,54,55,10,41,25,97,73,34,21,24,40
Booker Moore,FB,,71,224,16,1983-1984SAVEGAME.DAT,2,78,70,16,63,17,94,73,67,26,64,40
Chris Williams,CB,,72,197,216,1983-1984SAVEGAME.DAT,2,86,82,11,83,19,84,50,68,74,10,58
Robb Riddick,RB,,72,195,64,1983-1984SAVEGAME.DAT,2,80,79,25,54,13,87,47,83,34,62,28
Joey Lumpkin,ILB,,74,230,225,1983-1984SAVEGAME.DAT,2,71,70,10,74,6,82,53,53,46,18,72
Eugene Marve,ILB,,74,237,176,1983-1984SAVEGAME.DAT,2,70,72,10,79,13,79,57,76,70,23,83
Matt Kofler,QB,,75,192,80,1983-1984SAVEGAME.DAT,2,70,67,76,23,16,64,34,53,15,17,32
Justin Cross,T,,78,265,112,1983-1984SAVEGAME.DAT,2,47,60,11,80,11,67,75,39,9,12,44
Byron Franklin,WR,,73,179,192,1983-1984SAVEGAME.DAT,2,81,85,20,61,13,91,27,81,8,87,15
Mike Mosley,WR,,74,192,192,1983-1984SAVEGAME.DAT,2,82,87,22,46,7,87,38,59,9,76,12
Perry Tuttle,WR,,72,178,136,1983-1984SAVEGAME.DAT,2,89,78,30,48,20,86,49,81,5,83,10
Kurt Becker,G,,77,275,120,1983-1984SAVEGAME.DAT,2,66,62,11,84,16,86,69,61,13,12,24
Perry Hartnett,G,,77,275,56,1983-1984SAVEGAME.DAT,2,53,52,11,65,24,80,64,47,16,12,29
Calvin Thomas,RB,,71,245,8,1983-1984SAVEGAME.DAT,2,76,78,23,67,7,77,61,64,20,50,26
Jim McMahon,QB,,73,191,72,1983-1984SAVEGAME.DAT,2,68,67,89,68,8,85,50,62,8,24,29
Dennis Gentry,RB,,68,181,232,1983-1984SAVEGAME.DAT,2,82,82,20,67,16,89,56,73,15,71,38
Glen Collins,DT,,78,260,49,1983-1984SAVEGAME.DAT,2,74,73,11,72,22,80,53,59,31,30,78
Rodney Tate,RB,,71,190,96,1983-1984SAVEGAME.DAT,2,84,80,27,67,12,89,52,71,29,58,30
Mike Obrovac,T,,78,275,248,1983-1984SAVEGAME.DAT,2,57,60,11,87,16,88,77,39,10,12,24
M.L. Harris,TE,,77,238,152,1983-1984SAVEGAME.DAT,2,69,68,10,55,12,75,39,43,6,67,14
Rod Hill,CB,,72,188,200,1983-1984SAVEGAME.DAT,2,87,76,11,86,23,80,36,84,80,7,45
Brian Baldinger,G,,76,260,240,1983-1984SAVEGAME.DAT,2,55,57,11,82,25,86,62,45,14,12,27
Jeff Rohrer,ILB,,75,225,144,1983-1984SAVEGAME.DAT,2,72,72,10,85,13,84,56,61,68,30,76
Phil Pozderac,T,,81,230,88,1983-1984SAVEGAME.DAT,2,62,45,11,84,19,90,67,52,15,12,37
Jack Campbell,T,,77,277,0,1983-1984SAVEGAME.DAT,2,40,62,11,50,23,62,69,24,18,12,27
Roger Jackson,CB,,72,186,224,1983-1984SAVEGAME.DAT,2,88,73,11,86,26,77,34,73,69,21,41
Gerald Willhite,RB,,70,200,120,1983-1984SAVEGAME.DAT,2,83,72,23,18,10,86,56,62,28,47,29
Sammy Winder,RB,,71,203,185,1983-1984SAVEGAME.DAT,2,83,79,27,71,16,72,50,75,13,57,10
Rick Dennison,ILB,,75,220,184,1983-1984SAVEGAME.DAT,2,64,78,10,76,6,66,59,60,57,19,76
Rich Karlis,K,,72,181,24,1983-1984SAVEGAME.DAT,2,44,48,11,60,94,97,36,51,34,30,50
Darren Comeaux,OLB,,73,227,216,1983-1984SAVEGAME.DAT,2,74,56,10,63,6,73,61,47,54,19,75
Ken Woodard,OLB,,73,218,160,1983-1984SAVEGAME.DAT,2,71,73,11,52,19,84,57,58,58,15,72
Keith Uecker,T,,77,260,24,1983-1984SAVEGAME.DAT,2,48,61,11,80,11,67,61,39,9,12,44
Clint Sampson,WR,,71,183,161,1983-1984SAVEGAME.DAT,2,92,81,18,47,10,87,37,85,10,70,10
Clay Brown,TE,,75,225,200,1983-1984SAVEGAME.DAT,2,78,74,11,26,8,85,65,53,20,55,57
Bobby Watkins,CB,,70,184,216,1983-1984SAVEGAME.DAT,2,88,75,11,72,21,85,35,77,87,8,50
Bruce McNorton,CB,,71,175,232,1983-1984SAVEGAME.DAT,2,92,98,11,71,19,64,44,70,92,19,61
Martin Moss,DT,,76,252,248,1983-1984SAVEGAME.DAT,2,60,62,11,70,23,84,53,56,29,18,74
